editor,article_edited,wikiproject,timestamp
Sportsmonster,california state route 241,U.S. Roads,1498546593
Cabmamma,blue star memorial highway,U.S. Roads,1498407055
Shaytardfan2,list of business routes of the interstate highway system,U.S. Roads,1498284163
Kd7wrc,utah state route 101,U.S. Roads,1498319531
