editor,article_edited,wikiproject,timestamp
AmazingRoblivion,martin fowler (eastenders),EastEnders,1498671401
Shaun Moore,list of eastenders crew members,EastEnders,1498654321
Factually Correct,lorraine newman,EastEnders,1498568474
