user_cnt**user_text**timestamp
1**Syed Rayyan Anees**1498844271
2**Wandering Wallaby**1498844308
3**Gaminc**1498844314
4**Manonbenz**1498844327
5**Slimdurland**1498844357
6**Sygiel23**1498844372
7**Arano 123**1498844424
8**Arano 123455**1498844469
9**BobLaw**1498844483
10**Sydash1026**1498844490
11**Fsenat**1498844489
12**Shreyahometutorials education**1498844507
13**Abdi shanko**1498844514
14**Chris P 50**1498844523
15**Jayati Chakraborty**1498844545
16**Rcfereform**1498844556
17**V.Ramadurai**1498844560
18**Memagertrude**1498844607
19**Tribi2017**1498844614
20**Penguin Soup**1498844617
21**Khanyi m**1498844628
22**Ramya Rakesh**1498844652
23**IsadoreJohnson**1498844676
24**Prakhar 752**1498844692
25**Let's go draft defensive players from UCLA and Stanford said no smart Gm ever.**1498844694
26**Woodygates**1498844724
27**George165**1498844742
28**Wodiki**1498844752
29**Bonewelic**1498844774
30**Of217**1498844783
31**Kenedy2**1498844789
32**Caenjade**1498844805
33**Samuelece**1498844850
34**Sneely**1498844862
35**Sahebalikhan**1498844892
36**CEdward1**1498844902
37**Abdelrahman Adel Hassan**1498844903
38**Medusa1214**1498844904
39**Paul Christopher Stone**1498844937
