user_cnt**user_text**article**timestamp
DeArmond0283**Demagogue**1498664161
Gatorbeans3**Cub-J**1498664184
Nai.hend**Ansel Elgort**1498664631
Finn Fermor**Mitsubishi Cordia**1498664634
Georgemc11**Power (Little Mix song)**1498664649
WhinnieThePooh**Carlo Carrà**1498664716
InterAlbania**Mamadou Coulibaly**1498664806
Camerontroyer**2015 NBA draft**1498664857
Dennisptweets**Donkey Kong Country 3: Dixie Kong's Double Trouble!**1498664916
E4sajy5y78**The Oratory School**1498664980
Srees82**Ysgol Maesteg School**1498665014
Rami.darwish**News of the World (album)**1498665024
Sindar Quenya Tengwar**The Chronicles of Narnia: Prince Caspian**1498665196
Mikeya1988**Scott Brown (footballer, born June 1985)**1498665211
Cryptophunk**The Needle Drop**1498665498
Anisvil**List of people from Urbana, Illinois**1498665500
Potatolouse**Of Mice and Men (1992 film)**1498665786
Bba12**Marilyn (geography)**1498665831
Mrsurrey**DavidGriffiths**1498665880
Vaibhav.pant**National College of Arts**1498666011
Brownweather**Yoshinobu Launch Complex**1498666153
Hansen Feriandy**Hansen Feriandy**1498666175
Gherymoire**Stobswell**1498666319
Srihak**Harin Fernando**1498666383
Footballmanna**Kory Roberts**1498666403
HistoryWiser**North Korea–United States relations**1498666423
Stddny1**She Bop**1498666512
Wezcod**Government Secondary School Owerri**1498666530
Sudhirkumarjoon**Sudhir Kumar Joon**1498666741
Nickbabineaux**College of Biblical Studies**1498666749
Caro phillips**Silicon Labs**1498666864
Tyrone123321123**Cornell University**1498666974
Stvincentcollege**Ethel & Ernest (film)**1498667079
Dr mutturaj ambiger**Audiomatic**1498667156
Jestemgruby**Law and Justice**1498667163
Lol0555**Greg Heffley**1498667274
Fagotbabdman**Tencent**1498667398
Frac32**European Business School Paris**1498667423
Stuart Edward Shearer**Norwich Twenty Group**1498667495
Natashaanalisa**Nintendo Switch system software**1498667504
Southtexican95**Hank Williams**1498667572
RedWinged Blackbird**Olam International**1498667602
Dogeking82637**Association for the Social Scientific Study of Jewry**1498667634
Kadappa755**Cis AB**1498667722
James Scott Berry**New York City mayoral election, 2017**1498667881
Michaelcomputerguy5556**Patrick Beverley**1498667881
Matthew.Davidson**Employee handbook**1498667908
CaribbeanAmphibian**Ponce, Puerto Rico**1498668103
BeHeZi**Circulation Research**1498668104
Bails156**Denmark Hill**1498668115
MrFlamur**Danho**1498668153
Highchiefsmokealot**Big Al**1498668184
Itz Just Kenzie**Kendall Vertes**1498668312
KehindeAkinola**Osun State**1498668551
Borgesewq**Confessions of a Nazi Spy**1498668578
Manishgharat**Samyuktha Hegde**1498668681
BeyonceRussel**Agapostemon**1498668702
DovKruger**Sweden during World War I**1498668766
Prawny007**Rick Karsdorp**1498668868
Iranazad**Ahmad Amir-Ahmadi**1498668887
Shamweelreh**History of English**1498668944
