user_text,wikiproject,total_edits,pos
Ekabhishek,india,72271,1
Sitush,india,52332,2
Shyamsunder,india,35515,3
TheRedPenOfDoom,india,24162,4
Titodutta,india,21350,5
Chandan Guha,india,20314,6
Ravichandar84,india,20109,7
Redtigerxyz,india,19266,8
Materialscientist,india,18256,9
Utcursch,india,18158,10
Woohookitty,india,16668,11
Rajasekhar1961,india,16296,12
DRAGON BOOSTER,india,15952,13
Randhirreddy,india,15243,14
Vensatry,india,14718,15
Bollyjeff,india,13559,16
Niajm,india,13494,17
Rjwilmsi,india,12231,18
Rsrikanth05,india,11413,19
Vivvt,india,11150,20
Bearcat,lgbt studies,21316,1
Bmclaughlin9,lgbt studies,10607,2
Flyer22,lgbt studies,9057,3
All Hallow's Wraith,lgbt studies,5775,4
Ser Amantio di Nicolao,lgbt studies,5308,5
Werldwayd,lgbt studies,4790,6
Rjwilmsi,lgbt studies,4448,7
Varnent,lgbt studies,4433,8
Treybien,lgbt studies,4422,9
Acalamari,lgbt studies,4265,10
Ron 1987,lgbt studies,3876,11
Lincolnite,lgbt studies,3498,12
Rich Farmbrough,lgbt studies,3064,13
Midnightblueowl,lgbt studies,3060,14
Nightscream,lgbt studies,3053,15
SNUGGUMS,lgbt studies,2922,16
Tbhotch,lgbt studies,2815,17
Woohookitty,lgbt studies,2800,18
Koavf,lgbt studies,2791,19
Hullaballoo Wolfowitz,lgbt studies,2759,20
Dr.K.,mathematics,16,1
Reify-tech,mathematics,15,2
Michael Hardy,mathematics,10,3
SolidPhase,mathematics,9,4
Mebden,mathematics,9,5
Ser Amantio di Nicolao,mathematics,6,6
Ktr101,mathematics,6,7
Suslindisambiguator,mathematics,6,8
BabelStone,mathematics,5,9
Arthur goes shopping,mathematics,5,10
Finell,mathematics,5,11
Nazar,mathematics,4,12
Us441,mathematics,4,13
Ukexpat,mathematics,3,14
Dimboukas,mathematics,3,15
Smjg,mathematics,3,16
Fuzheado,mathematics,3,17
EamonnPKeane,mathematics,2,18
Melchoir,mathematics,2,19
David Eppstein,mathematics,2,20
Doc James,medicine,33981,1
Rjwilmsi,medicine,15924,2
Jfdwolff,medicine,13614,3
SandyGeorgia,medicine,11126,4
Mikael Häggström,medicine,6216,5
WhatamIdoing,medicine,5241,6
Flyer22,medicine,4677,7
Anthonyhcole,medicine,4308,8
BullRangifer,medicine,4260,9
QuackGuru,medicine,4162,10
Materialscientist,medicine,4008,11
SlimVirgin,medicine,3968,12
Rich Farmbrough,medicine,3808,13
