wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
lgbt studies,tarja halonen,30797,0,,b
lgbt studies,themistocles,31069,0,,ga
lgbt studies,the picture of dorian gray,31342,0,,c
lgbt studies,t. h. white,31368,0,,start
lgbt studies,tom cruise,31460,0,,b
lgbt studies,the dispossessed,32039,0,,c
lgbt studies,virginia woolf,32742,0,,b
lgbt studies,the wachowskis,33126,0,,c
lgbt studies,w. somerset maugham,33187,0,,b
lgbt studies,w. h. auden,33276,0,,ga
lgbt studies,william s. burroughs,33594,0,,b
lgbt studies,walt whitman,33870,0,,ga
lgbt studies,william ii of england,33918,0,,c
lgbt studies,witold gombrowicz,34074,0,,start
lgbt studies,wendy carlos,34113,0,,start
lgbt studies,xena,34150,0,,start
lgbt studies,xenophon,34155,0,,c
lgbt studies,xena: warrior princess,34212,0,,start
lgbt studies,yoko ono,34350,0,,ga
lgbt studies,zeus,34398,0,,c
lgbt studies,stevie nicks,36648,0,,c
lgbt studies,kenneth williams,36960,0,,c
lgbt studies,sexual revolution,37056,0,,c
lgbt studies,alfred kinsey,37661,0,,b
lgbt studies,willow rosenberg,37727,0,,b
lgbt studies,colin turnbull,37807,0,,start
lgbt studies,pope leo x,37870,0,,start
lgbt studies,john maynard keynes,37973,0,,ga
lgbt studies,gender,38076,0,,b
lgbt studies,bi-curious,38170,0,,start
lgbt studies,lanford wilson,38231,0,,c
lgbt studies,david boies,38783,0,,start
lgbt studies,mattachine society,38899,0,,start
lgbt studies,cary grant,38965,0,,ga
lgbt studies,provincetown, massachusetts,39052,0,,b
lgbt studies,charles pierce (female impersonator),39230,0,,start
lgbt studies,bloomsbury group,41938,0,,start
lgbt studies,freddie mercury,42068,0,,ga
lgbt studies,midnight cowboy,42147,0,,c
lgbt studies,gillian anderson,42238,0,,b
lgbt studies,elizabeth taylor,42357,0,,c
lgbt studies,persecution of homosexuals in nazi germany and the holocaust,42402,0,,c
lgbt studies,chaz bono,42765,0,,c
lgbt studies,sophie b. hawkins,42802,0,,start
lgbt studies,a streetcar named desire,42863,0,,b
lgbt studies,the queen of the damned,42906,0,,start
lgbt studies,sharon stone,43084,0,,b
lgbt studies,gender role,43094,0,,c
lgbt studies,gender dysphoria,43097,0,,c
lgbt studies,alice walker,43154,0,,b
lgbt studies,the color purple,43168,0,,c
lgbt studies,religion and sexuality,43243,0,,b
lgbt studies,coalition for positive sexuality,43246,0,,stub
lgbt studies,leonard bernstein,43282,0,,b
lgbt studies,tom hanks,43568,0,,b
lgbt studies,laurence olivier,43675,0,,fa
lgbt studies,violence against lgbt people,43797,0,,start
lgbt studies,mccarthyism,43805,0,,ga
lgbt studies,cybill shepherd,43848,0,,c
lgbt studies,franco zeffirelli,43876,0,,c
lgbt studies,tony richardson,43900,0,,start
