wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
professional wrestling,staples center,516154,0,mid,c
professional wrestling,nassau veterans memorial coliseum,516595,0,low,start
professional wrestling,wwf the main event,516902,0,low,start
professional wrestling,yvon durelle,517517,0,low,c
professional wrestling,royal rumble,518916,0,mid,list
professional wrestling,wrestlemania xx,520520,0,mid,b
professional wrestling,king of the ring,531977,0,mid,start
professional wrestling,camping world stadium,535859,0,low,start
professional wrestling,nikolai volkoff,539718,0,mid,start
professional wrestling,man mountain dean,539808,0,low,start
professional wrestling,montreal screwjob,542835,0,high,b
professional wrestling,puroresu,550410,0,top,c
professional wrestling,paul heyman,551756,0,high,start
professional wrestling,randy savage,552897,0,high,b
professional wrestling,bill demott,556584,0,low,start
professional wrestling,heel (professional wrestling),557664,0,mid,start
professional wrestling,face (professional wrestling),557667,0,mid,start
professional wrestling,gimmick (professional wrestling),557710,0,mid,c
professional wrestling,buddy rogers (wrestler),565664,0,mid,start
professional wrestling,sylvain grenier,567701,0,low,c
professional wrestling,smash (wrestler),576942,0,low,c
professional wrestling,big show,578152,0,high,b
professional wrestling,no-show,578304,0,na,disambig
professional wrestling,women in wwe,580533,0,mid,b
professional wrestling,shoot (professional wrestling),580580,0,low,start
professional wrestling,job (professional wrestling),580642,0,low,start
professional wrestling,wcw monday nitro,584940,0,mid,start
professional wrestling,scott steiner,584945,0,mid,b
professional wrestling,vince russo,584966,0,high,c
professional wrestling,house show,586611,0,mid,start
professional wrestling,nwa world heavyweight championship,589608,0,high,c
professional wrestling,wcw world heavyweight championship,591585,0,mid,start
professional wrestling,the godfather (wrestler),591648,0,mid,start
professional wrestling,uswa unified world heavyweight championship,591662,0,low,list
professional wrestling,nation of domination,591678,0,low,start
professional wrestling,bull buchanan,591698,0,low,start
professional wrestling,big boss man (wrestler),591757,0,mid,start
professional wrestling,clarence mason,591800,0,low,start
professional wrestling,right to censor,592480,0,low,start
professional wrestling,sports entertainment,592806,0,low,start
professional wrestling,wwe backlash,594320,0,low,c
professional wrestling,wwe judgment day,595353,0,low,list
professional wrestling,wrestlemania 21,599274,0,mid,c
professional wrestling,david arquette,600332,0,low,c
professional wrestling,kent walton,605043,0,low,start
professional wrestling,list of fighting games,620159,0,low,list
professional wrestling,tommy boyd,621360,0,low,start
professional wrestling,wwe championship,630463,0,high,c
professional wrestling,list of professional wrestling rosters,630726,0,low,list
professional wrestling,turnbuckle,632827,0,low,start
professional wrestling,gangrel (wrestler),633635,0,low,start
professional wrestling,new japan pro-wrestling,635624,0,high,start
professional wrestling,feud (professional wrestling),639004,0,high,start
professional wrestling,suplex,640399,0,low,start
professional wrestling,the dudley boyz,649786,0,high,c
professional wrestling,spike dudley,650354,0,mid,b
professional wrestling,bubba ray dudley,650403,0,high,start
professional wrestling,d-von dudley,650413,0,mid,start
professional wrestling,dave bautista,652402,0,mid,b
professional wrestling,lance cade,652410,0,low,c
professional wrestling,jonny fairplay,654047,0,low,start
professional wrestling,kenzo suzuki,654349,0,low,start
professional wrestling,sting (wrestler),655575,0,high,b
professional wrestling,wahoo mcdaniel,659323,0,mid,c
professional wrestling,sonjay dutt,662698,0,low,c
professional wrestling,wwe armageddon,663187,0,low,list
professional wrestling,randy orton,665823,0,high,ga
professional wrestling,molly holly,665841,0,mid,ga
professional wrestling,rosey (wrestler),665872,0,low,ga
professional wrestling,kevin thorn,666863,0,low,ga
professional wrestling,gregory helms,667881,0,mid,ga
professional wrestling,lou thesz,668815,0,high,c
professional wrestling,rico constantino,669035,0,low,start
professional wrestling,frontier wrestling alliance,672181,0,low,start
professional wrestling,jonny storm,672207,0,low,start
professional wrestling,doug williams (wrestler),672229,0,low,c
professional wrestling,the black family,672609,0,low,c
professional wrestling,nwa uk hammerlock,673132,0,low,start
professional wrestling,earl hebner,674490,0,mid,start
professional wrestling,nick patrick (referee),674503,0,low,start
professional wrestling,tazz,674611,0,mid,b
professional wrestling,vince mcmahon sr.,679656,0,mid,start
professional wrestling,capitol wrestling corporation,679662,0,low,start
professional wrestling,linda mcmahon,679668,0,mid,b
professional wrestling,tokyo dome,680412,0,mid,start
professional wrestling,blading (professional wrestling),683269,0,low,start
professional wrestling,rob conway,683823,0,mid,c
professional wrestling,ivory (wrestler),684053,0,mid,ga
professional wrestling,the ultimate warrior,684397,0,mid,c
professional wrestling,doink the clown,684945,0,low,start
professional wrestling,stan stasiak,689987,0,low,start
professional wrestling,ivan koloff,689988,0,mid,start
professional wrestling,antonio inoki,689992,0,high,c
professional wrestling,superstar billy graham,690034,0,mid,b
professional wrestling,yokozuna (wrestler),690037,0,mid,c
professional wrestling,sid eudy,690045,0,mid,start
professional wrestling,list of wwe champions,690083,0,high,fl
professional wrestling,chyna,690102,0,mid,ga
professional wrestling,gail kim,690109,0,mid,ga
professional wrestling,debra marshall,690119,0,low,ga
professional wrestling,d'lo brown,690213,0,mid,start
professional wrestling,test (wrestler),690218,0,mid,c
professional wrestling,shane douglas,690219,0,low,start
professional wrestling,greg valentine,690225,0,mid,start
professional wrestling,ricky steamboat,690226,0,mid,c
professional wrestling,ken shamrock,690231,0,mid,b
professional wrestling,goldust,690238,0,mid,c
professional wrestling,road dogg,690240,0,mid,c
professional wrestling,jacques rougeau,690244,0,low,start
professional wrestling,raymond rougeau,690247,0,low,start
professional wrestling,william regal,690254,0,mid,c
professional wrestling,jeff hardy,690256,0,high,ga
professional wrestling,davey boy smith,690262,0,mid,b
professional wrestling,billy gunn,690276,0,mid,b
professional wrestling,category:professional wrestling,690578,14,na,category
professional wrestling,terry funk,690793,0,high,c
professional wrestling,world heavyweight championship (wwe),690915,0,mid,ga
professional wrestling,jimmy hart,692665,0,mid,start
professional wrestling,the honky tonk man,692713,0,mid,start
professional wrestling,toots mondt,694402,0,high,start
professional wrestling,turner's arena,694434,0,low,stub
professional wrestling,professional wrestling promotion,695143,0,high,start
