wikiproject,art_title,art_pageid,art_ns,art_importance,art_class
stub sorting,template:geology-stub,1218937,10,,
stub sorting,template:uk-stub,1230217,10,,
stub sorting,template:romania-stub,1231094,10,,
stub sorting,category:archaeology stubs,1234618,14,,
stub sorting,template:archaeology-stub,1234665,10,,
stub sorting,template:windows-stub,1241831,10,,
stub sorting,template:pbs-stub,1243454,10,,
stub sorting,category:chemistry stubs,1245530,14,,
stub sorting,template:india-stub,1245654,10,,
stub sorting,template:israel-stub,1248987,10,,
stub sorting,template:judaism-stub,1249114,10,,
stub sorting,template:uk-noble-stub,1249421,10,,
stub sorting,template:lithuania-stub,1250543,10,,
stub sorting,template:africa-stub,1251798,10,,
stub sorting,template:election-stub,1253371,10,,
stub sorting,category:medicine stubs,1258736,14,,
stub sorting,template:mathematician-stub,1259292,10,,
stub sorting,template:denmark-stub,1259317,10,,
stub sorting,template:game-stub,1266488,10,,
stub sorting,category:game stubs,1266492,14,,
stub sorting,template:canada-geo-stub,1270762,10,,
stub sorting,template:canada-bio-stub,1270898,10,,
stub sorting,category:canadian people stubs,1270934,14,,
stub sorting,template:fiji-stub,1273916,10,,
stub sorting,template:pitcairn-stub,1273920,10,,
stub sorting,template:brazil-stub,1276224,10,,
stub sorting,template:newzealand-stub,1280237,10,,
stub sorting,template:canberra-stub,1280792,10,,
stub sorting,template:astronomer-stub,1281927,10,,
stub sorting,template:uk-geo-stub,1282439,10,,
stub sorting,template:canada-gov-stub,1282804,10,,
stub sorting,category:canada government stubs,1282815,14,,
stub sorting,template:water-transport-stub,1282924,10,,
stub sorting,template:psych-stub,1286295,10,,
stub sorting,category:psychology stubs,1286297,14,,
stub sorting,template:jewish-hist-stub,1289487,10,,
stub sorting,category:sportspeople stubs,1295532,14,,
stub sorting,template:sport-bio-stub,1295556,10,,
stub sorting,category:musician stubs,1298120,14,,
stub sorting,template:musician-stub,1298129,10,,
stub sorting,template:filmmaking-stub,1299035,10,,
stub sorting,template:van-stub,1299795,10,,
stub sorting,category:van stubs,1299806,14,,
stub sorting,template:videogame-stub,1299826,10,,
stub sorting,category:disney stubs,1299888,14,,
stub sorting,template:manga-stub,1301161,10,,
stub sorting,template:pakistan-stub,1302141,10,,
stub sorting,template:us-geo-stub,1302278,10,,
stub sorting,template:australia-geo-stub,1302805,10,,
stub sorting,category:australia geography stubs,1302819,14,,
stub sorting,template:newzealand-geo-stub,1303107,10,,
stub sorting,category:new zealand geography stubs,1303114,14,,
stub sorting,category:hong kong stubs,1304382,14,,
stub sorting,template:prchina-geo-stub,1311418,10,,
stub sorting,template:theat-stub,1311456,10,,
stub sorting,category:theatre stubs,1311458,14,,
stub sorting,category:hong kong geography stubs,1312376,14,,
stub sorting,template:hongkong-stub,1312395,10,,
stub sorting,template:hongkong-geo-stub,1312397,10,,
stub sorting,category:tolkien stubs,1316215,14,,
stub sorting,template:northernireland-geo-stub,1317323,10,,
stub sorting,category:northern ireland geography stubs,1317341,14,,
stub sorting,template:japan-geo-stub,1318853,10,,
stub sorting,category:japan geography stubs,1318861,14,,
stub sorting,template:weapon-stub,1320769,10,,
stub sorting,category:weapon stubs,1320771,14,,
stub sorting,template:switzerland-stub,1325002,10,,
stub sorting,template:tropical-cyclone-stub,1326089,10,,
stub sorting,template:korea-geo-stub,1330299,10,,
stub sorting,category:korea geography stubs,1330317,14,,
stub sorting,template:plant-stub,1333220,10,,
stub sorting,category:plant stubs,1333228,14,,
stub sorting,template:southafrica-stub,1336195,10,,
stub sorting,category:south africa stubs,1336198,14,,
stub sorting,template:sustainability-stub,1337299,10,,
stub sorting,category:sustainability stubs,1337595,14,,
stub sorting,category:geology stubs,1338815,14,,
stub sorting,template:hebrew-bible-stub,1342919,10,,
stub sorting,template:para-psych-stub,1347224,10,,
stub sorting,template:rail-transport-stub,1348027,10,,
stub sorting,category:biochemistry stubs,1350211,14,,
stub sorting,template:biochem-stub,1350223,10,,
stub sorting,template:tram-stub,1350661,10,,
stub sorting,template:state of palestine-stub,1353692,10,,
stub sorting,template:ukraine-stub,1355309,10,,
stub sorting,template:taiwan-stub,1355313,10,,
stub sorting,template:islam-stub,1355334,10,,
stub sorting,category:gnome stubs,1356318,14,,
stub sorting,template:peru-stub,1360913,10,,
stub sorting,template:animation-stub,1363714,10,,
stub sorting,category:animation stubs,1363729,14,,
stub sorting,template:belarus-stub,1365793,10,,
stub sorting,template:tv-bio-stub,1366998,10,,
stub sorting,template:composer-stub,1367897,10,,
stub sorting,template:africa-geo-stub,1369446,10,,
stub sorting,category:africa geography stubs,1369451,14,,
stub sorting,template:moldova-stub,1371020,10,,
stub sorting,template:nauru-stub,1371064,10,,
stub sorting,template:france-geo-stub,1374073,10,,
stub sorting,category:france geography stubs,1374150,14,,
stub sorting,category:cell biology stubs,1374442,14,,
stub sorting,template:artist-stub,1384961,10,,
stub sorting,category:artist stubs,1384975,14,,
stub sorting,template:brazil-geo-stub,1388664,10,,
stub sorting,category:brazil geography stubs,1388701,14,,
stub sorting,template:honorverse-stub,1389279,10,,
stub sorting,category:technology stubs,1389404,14,,
stub sorting,template:tech-stub,1389408,10,,
stub sorting,category:pbs stubs,1391189,14,,
stub sorting,template:dog-stub,1396631,10,,
stub sorting,category:dog stubs,1396693,14,,
stub sorting,template:cricket-stub,1401866,10,,
stub sorting,category:cricket stubs,1401868,14,,
stub sorting,template:india-geo-stub,1403668,10,,
stub sorting,category:india geography stubs,1403677,14,,
stub sorting,template:italy-geo-stub,1403756,10,,
stub sorting,category:italy geography stubs,1403763,14,,
stub sorting,template:spain-geo-stub,1403789,10,,
stub sorting,category:spain geography stubs,1403796,14,,
stub sorting,template:germany-geo-stub,1403806,10,,
stub sorting,category:germany geography stubs,1403810,14,,
stub sorting,template:india-bio-stub,1404436,10,,
stub sorting,category:indian people stubs,1404443,14,,
stub sorting,template:iraq-stub,1406743,10,,
stub sorting,template:iceland-geo-stub,1406829,10,,
stub sorting,category:iceland geography stubs,1406831,14,,
stub sorting,template:international-org-stub,1406949,10,,
stub sorting,template:compu-domain-stub,1407914,10,,
stub sorting,template:ethno-stub,1414595,10,,
stub sorting,category:ethnicity stubs,1414602,14,,
stub sorting,category:russia geography stubs,1416098,14,,
stub sorting,template:russia-geo-stub,1416100,10,,
stub sorting,category:antarctica geography stubs,1416787,14,,
stub sorting,template:antarctica-geo-stub,1416788,10,,
stub sorting,category:indonesia geography stubs,1418696,14,,
stub sorting,template:indonesia-geo-stub,1418699,10,,
stub sorting,category:iran geography stubs,1419876,14,,
stub sorting,template:iran-geo-stub,1419877,10,,
stub sorting,template:austria-stub,1425062,10,,
stub sorting,category:austria geography stubs,1425843,14,,
stub sorting,template:austria-geo-stub,1425844,10,,
stub sorting,category:argentina geography stubs,1426346,14,,
stub sorting,template:argentina-geo-stub,1426347,10,,
stub sorting,template:sweden-stub,1426387,10,,
stub sorting,template:sweden-geo-stub,1426389,10,,
stub sorting,category:sweden geography stubs,1426391,14,,
stub sorting,template:poland-geo-stub,1428484,10,,
stub sorting,category:poland geography stubs,1428490,14,,
stub sorting,template:mineral-stub,1428670,10,,
stub sorting,category:mineral stubs,1428677,14,,
stub sorting,template:museum-stub,1428696,10,,
stub sorting,category:museum stubs,1428717,14,,
stub sorting,template:canada-university-stub,1429194,10,,
stub sorting,template:geo-term-stub,1429301,10,,
stub sorting,template:ling-stub,1429719,10,,
stub sorting,category:belgium geography stubs,1429722,14,,
stub sorting,template:belgium-geo-stub,1429725,10,,
stub sorting,category:linguistics stubs,1429728,14,,
stub sorting,template:anatomy-stub,1429807,10,,
stub sorting,category:anatomy stubs,1429812,14,,
stub sorting,category:albania geography stubs,1429962,14,,
stub sorting,template:albania-geo-stub,1429967,10,,
stub sorting,category:central america geography stubs,1431829,14,,
stub sorting,template:centralam-geo-stub,1431906,10,,
stub sorting,category:turkey geography stubs,1432715,14,,
stub sorting,template:turkey-geo-stub,1432716,10,,
stub sorting,template:hongkong-bio-stub,1433476,10,,
stub sorting,category:hong kong people stubs,1433481,14,,
stub sorting,template:hongkong-gov-stub,1433503,10,,
stub sorting,template:hongkong-edu-stub,1433526,10,,
stub sorting,category:hong kong education stubs,1433531,14,,
stub sorting,template:actor-stub,1434820,10,,
stub sorting,category:actor stubs,1434855,14,,
stub sorting,category:norway geography stubs,1435633,14,,
stub sorting,template:norway-geo-stub,1435636,10,,
stub sorting,template:sf-stub,1436034,10,,
stub sorting,category:science fiction stubs,1436035,14,,
stub sorting,category:portugal geography stubs,1436740,14,,
stub sorting,template:portugal-geo-stub,1436741,10,,
stub sorting,category:mexico geography stubs,1437114,14,,
stub sorting,template:mexico-geo-stub,1437115,10,,
